Region,Fold,Model,Penalty,AUROC,CalibrationSlope,CalibrationIntercept
1,1,Local,none,0.7660628998828513,0.6113681296678204,-0.04115851818507911
1,1,Centralized,none,0.7743534288546454,0.9216265951343993,0.015818241441111554
1,1,FL,none,0.7756150310894836,0.9291980630239722,0.020458823235045494
1,1,FL_recal,none,0.7756150310894836,0.9291980630239718,0.01069178048825511
1,2,Local,none,0.8680724520140578,1.0951666997944653,-0.01957145250023998
1,2,Centralized,none,0.845904298459043,1.2008854433404197,-0.021073590781076318
1,2,FL,none,0.8455438406776606,1.205603957480022,-0.01542138839402714
1,2,FL_recal,none,0.8455438406776606,1.2056039574800157,-0.02518843114081734
1,3,Local,none,0.8838424799495359,1.1646366498806058,0.03064005746241533
1,3,Centralized,none,0.8934847256015139,1.4465180138882936,0.003340245738876881
1,3,FL,none,0.8946562133910065,1.4666772270455326,0.011261085984825685
1,3,FL_recal,none,0.8946562133910065,1.4666772270455326,0.0014940432382706311
1,4,Local,none,0.8732610659439928,1.011025034516351,0.13791753406832208
1,4,Centralized,none,0.8716350496838302,1.2336172839166932,0.11085132494302259
1,4,FL,none,0.8706413730803975,1.2323667693582832,0.11521220350589595
1,4,FL_recal,none,0.8706413730803975,1.2323667693582832,0.10544516075910579
1,5,Local,none,0.8399277326106594,0.8682046968898834,-0.10379396091817863
1,5,Centralized,none,0.837037037037037,1.1290767295374042,-0.06238138448240939
1,5,FL,none,0.8365853658536585,1.1398548371413249,-0.05398172935156662
1,5,FL_recal,none,0.8365853658536585,1.1398548371413242,-0.06374877209824602
2,1,Local,none,0.8388113282808137,1.0998099980000675,-0.0035400298755409957
2,1,Centralized,none,0.8299162345432788,1.0284489253228795,0.050736870798708
2,1,FL,none,0.8295173514160351,1.0411996942438708,0.0565325081679623
2,1,FL_recal,none,0.8295173514160351,1.041199694243882,0.049270669833723225
2,2,Local,none,0.848384523334663,1.2056259692716518,-0.004537218415260518
2,2,Centralized,none,0.8652173913043478,1.321236000391669,0.13527436601496964
2,2,FL,none,0.865017949740726,1.3198636012112785,0.13727443015644308
2,2,FL_recal,none,0.865017949740726,1.3198636012112779,0.13001259182223912
2,3,Local,none,0.794006116207951,0.8107371512220984,0.012117700868333985
2,3,Centralized,none,0.8050968399592253,0.8997416040361891,0.05133055356652412
2,3,FL,none,0.8067686034658512,0.9103252537376207,0.05641339762597486
2,3,FL_recal,none,0.8067686034658512,0.9103252537376207,0.049151559291743196
2,4,Local,none,0.837116368286445,1.0605617811082353,0.04279886502410604
