ValidationRegion,Source,Penalty,AUROC,CalibrationSlope,CalibrationIntercept,AUROC_lower,AUROC_upper,CalibrationSlope_lower,CalibrationSlope_upper,CalibrationIntercept_lower,CalibrationIntercept_upper
1,2,none,0.8356876116252638,1.0474821177411597,-0.04762213480380242,0.8015691906274577,0.8675596181992259,0.8985357648070446,1.2158160836451606,-0.23913365588934193,0.12331362991302375
1,3,none,0.84041060056647,1.0836876497094345,0.09748315192442585,0.805630083528671,0.8721410589473743,0.9336855059096374,1.2499561863896356,-0.09102631360593523,0.27923666789905904
1,4,none,0.8388591221518645,0.9851537509778375,-0.0898780033013252,0.8020915016706694,0.8706002294669691,0.8443444880690429,1.1456859529624754,-0.2844448454230167,0.08129575006882163
1,5,none,0.8284028792552903,1.0290107597361713,-0.04171566950170035,0.7929949994402654,0.8625758512152526,0.8798777258270609,1.2007789173889527,-0.23646181852301504,0.1269150922101567
1,6,none,0.8114123865706915,1.0988983991710277,-0.11972479776026225,0.7730703386844074,0.8479163987912349,0.9258654846539481,1.2834665683723714,-0.30943017315523025,0.0464695924981367
1,7,none,0.8447222673233389,1.130253953666383,0.011766918629901802,0.8131160531364267,0.8765560216455959,0.9787686765025613,1.3177075092929118,-0.17815996536836634,0.1798346362909132
1,8,none,0.836802511230178,1.0456861254063283,0.30127498772612565,0.8043426761336975,0.870063444267984,0.9011212060203613,1.2164602072099586,0.1129801131525797,0.47567928577792584
1,9,none,0.8358644080027422,0.9823808782510586,0.0014945417747917508,0.8014589297586799,0.8699607476465196,0.8454244459391349,1.1437447374837098,-0.20034818507349475,0.17831956724637826
1,10,none,0.7954682397936172,0.9431847497795917,0.13327717256548816,0.7572763187395888,0.8319181237372462,0.7897077503881801,1.1163058566366815,-0.062345328478077,0.3090949868596997
1,11,none,0.8338619184211001,1.0345918752989245,-0.08044552068043698,0.7984290089014979,0.8683474759380981,0.8861816271395887,1.2157989091166335,-0.2727006270277003,0.09659534646276544
1,12,none,0.8396492937165124,1.0964814003956413,0.16370076246003876,0.8053230512153559,0.8700294803731434,0.9383861545896495,1.274145219119181,-0.02444680148410801,0.33357742109676053
1,13,none,0.834565495841677,0.9470566538564222,0.15951145461591393,0.8003427975367098,0.8691282586155167,0.8161536832671584,1.1081281528945592,-0.0339005305511012,0.336403020650976
1,14,none,0.8436181919864336,1.1465491478031211,-0.10337182449491054,0.8109188595766715,0.8742335882039305,0.9842352965191663,1.3249849390561763,-0.2900061877498142,0.06325519091518012
1,15,none,0.8276487885840054,1.0354055866145095,0.05480480241747275,0.7920895697893956,0.8608555029121959,0.8897198884934975,1.198926660956073,-0.14103881106134852,0.22812085162541637
1,16,none,0.8390323104400065,1.2214155724601512,-0.12557128753574914,0.8049227480662994,0.8718921918941325,1.0518505962191824,1.4254926667884145,-0.30917053569638464,0.041466517207369956
1,Centralized,none,0.8452273998304198,1.1618993912976145,0.008054551390413734,0.8115055456309388,0.8769700888892348,1.002792231456683,1.3579108462513383,-0.17995214874286072,0.17651269719384957
1,FL,none,0.8450361710955964,1.1696083433055973,0.014285095350827988,0.811784092233725,0.8767434380228596,1.0092119615480806,1.3646247014833819,-0.17464067219999474,0.18245181637773875
1,FL_recal,none,0.8450361710955964,1.1696083433055975,0.004518052604037721,0.811784092233725,0.8767434380228596,1.0092119615479103,1.364624701483382,-0.184407714946785,0.17268477363094867
2,1,none,0.8035159012584052,0.738170132701051,-0.019221310092727744,0.7762559227029082,0.8344239561151421,0.6582175774483229,0.8426596684486078,-0.1934719961511044,0.1288881631489589
2,3,none,0.8140713026827912,0.9506026667719003,0.11549617214632635,0.7872067289883323,0.8462680557936633,0.841528534575697,1.0915232151405165,-0.04019210943602472,0.25350828122461755
2,4,none,0.8127578912931569,0.8435160709644736,-0.1084427580476057,0.7859454411749804,0.8431216618145569,0.7506287191922247,0.9650773814736081,-0.26332014858956176,0.03672184892741873
2,5,none,0.7993158714300147,0.8863501188617072,0.06466267939982667,0.7719924565885806,0.8314079162511127,0.7852108181943609,1.0181909151595412,-0.08866354310060472,0.20266987201142134
2,6,none,0.7929781402800341,1.017164002685917,-0.08721195556293787,0.7644971195425596,0.8254112173277514,0.8936790048070975,1.1651205041864972,-0.23485323415092274,0.04239091837089107
2,7,none,0.8125846941868315,0.9480544340517839,0.005452897795931647,0.7866746706145238,0.8439736531592721,0.8433833547745411,1.0866547842958592,-0.14744208287817906,0.1457158695575378
2,8,none,0.807934031146613,0.8876846251951258,0.3449837532424578,0.779882532554118,0.8398320113408061,0.7882643904650325,1.01497732492208,0.1871364370900726,0.4823852871278109
2,9,none,0.8036971167492828,0.81011432421865,0.19430413312545436,0.7770980279583717,0.8325570957584099,0.7201420704392961,0.9210692123184356,0.03054718453618915,0.3369629996921428
2,10,none,0.7831283566962332,0.8576571361717292,0.25002217371055396,0.754069350786792,0.8130659191048597,0.7552919863883705,0.9830182294730738,0.09775276921875178,0.3833681077358212
2,11,none,0.8064297822046388,0.9042921497899178,0.07848942451869426,0.7788121240226842,0.8386288087478442,0.8011824585531356,1.0430700209217147,-0.0752880524215177,0.21451035592129078
2,12,none,0.815330189057471,0.977201502647884,0.23637228518072018,0.7896589203079298,0.8470758263205064,0.8707845230805663,1.12263368901316,0.08221026855021635,0.3706881825825738
2,13,none,0.805220609814182,0.844997608160831,0.2877941747061823,0.7774624462661195,0.8366195642025396,0.754192267756877,0.9605950630182224,0.11826265586784777,0.43343495636635065
2,14,none,0.816494458494436,0.9970533396419796,-0.04124500156833949,0.7909857610731742,0.8477847986773309,0.8862499095663681,1.1374870735712774,-0.19128481113368023,0.09060846788924697
2,15,none,0.8100476773145467,0.9329714705781974,0.14608454256230116,0.7834027752589601,0.840728802233033,0.8296244040631741,1.0624554201985317,-0.0053261994802451485,0.2848183007932912
2,16,none,0.8069012632163023,1.0539651056948804,-0.09473637332316617,0.7795354818047979,0.8389331895584563,0.9352092103820938,1.2136288088357816,-0.24775593806716537,0.03417269001418358
2,Centralized,none,0.8173347851954962,0.9879079618251687,0.0738740282779343,0.7913495893291838,0.8486331306372069,0.8807431737638025,1.126876408943617,-0.07713011869820934,0.20831132430592347
2,FL,none,0.8175352448092987,0.9941737594137537,0.07829122279761844,0.7914429711342702,0.8488385894984799,0.8858809229168216,1.134621628340054,-0.07274132046643339,0.21229324708745073
2,FL_recal,none,0.8175352448092987,0.994173759413754,0.07102938446371428,0.7914429711342702,0.8488385894984799,0.885880922916823,1.1346216283400539,-0.08000315880063735,0.20503140875324666
3,1,none,0.816811236361756,0.7545958868465578,-0.03710692025163303,0.7849821834215301,0.8467418231245798,0.6591847843472532,0.862241753712487,-0.2375709043791485,0.15702030559004115
3,2,none,0.8264711205336367,0.9784864315229483,-0.1076239922068846,0.7948063429699219,0.854593045204367,0.8537998216500928,1.1239548011220528,-0.28539818530114963,0.06933299900867444
3,4,none,0.8192835720564662,0.8328700027589676,-0.18575575363127722,0.7845765461567175,0.8475428800955561,0.7209844488824672,0.9598201903304288,-0.3779566934161583,-0.00032095121525127366
3,5,none,0.8113462433424686,0.8651744826404401,-0.037584520674792614,0.7763914914217654,0.8412114748416927,0.7437298085811487,0.9984176936961032,-0.23445157021796048,0.13390853171686293
3,6,none,0.8116306427426444,1.0163006541570272,-0.2178499676074726,0.7761056780980287,0.842200574713057,0.882926088818979,1.1627382537089863,-0.38981122885057656,-0.049297382383366506
3,7,none,0.81820737887171,0.9375281734942448,0.037740884645231135,0.7855285854887673,0.8465793005839463,0.8164936193155143,1.0770600033351272,-0.14396888847990533,0.2079456691105668
3,8,none,0.8203759242980506,0.8645611794093156,0.2545860368496803,0.7883789671059013,0.8485504274635315,0.7523554331016433,0.9942299505503097,0.0676356012705181,0.4371255513069744
3,9,none,0.8091453798024717,0.7576728596996817,0.1040658898075157,0.7758316975748089,0.8389782796541614,0.6591850930525662,0.874577485492304,-0.09450191886739341,0.296863998393318
3,10,none,0.790226356068049,0.841783996997839,0.15040737724785336,0.753819336093501,0.8226653839371497,0.717936591060005,0.9756687349194656,-0.02254733309893063,0.3209436204531823
3,11,none,0.8102538911008842,0.862313359233755,-0.02429207081635463,0.7769927513814895,0.8383971739385331,0.7466047728277136,0.9884526357878087,-0.21326072458531017,0.1495732058131421
3,12,none,0.8235721857386628,0.9668757513663923,0.1939648366931641,0.7913940196502879,0.8514494318412251,0.8426338643966441,1.1095047106502438,0.011550934619853386,0.3633065462884627
3,13,none,0.8208025233983143,0.8085919808126689,0.12228681689321283,0.7883116907760389,0.8487605081399113,0.703904309928146,0.9236758647691977,-0.07377751184023346,0.30798140585164474
3,14,none,0.8231358912043022,0.9789678576126706,-0.08894694026042743,0.7907955891303098,0.8508392214852168,0.8561515886932441,1.1178817191727042,-0.26872167681045883,0.08750125972606979
3,15,none,0.8153504576244893,0.894199640571815,0.04993863324175648,0.7812176075971339,0.845320752034363,0.7751820594598631,1.0235687313859176,-0.13375360910050146,0.23236513105688847
3,16,none,0.8213325404622783,1.0792598684789816,-0.1674686181675246,0.7885703133985049,0.8509714720917446,0.9397768980899603,1.2324895953210238,-0.33653949415056983,0.001560583356393358
3,Centralized,none,0.824974791871348,0.9597689151244845,-0.0006720094231331002,0.7923674454327551,0.8527375742997483,0.8368606147525948,1.101724598818951,-0.18060739335011705,0.17224488952092823
3,FL,none,0.8251234551941672,0.9618379918303671,0.00421447652993983,0.79284478895455,0.8528181844668837,0.8396810930695412,1.1042278802630014,-0.17635650530857602,0.17711683724000038
3,FL_recal,none,0.8251234551941672,0.9618379918305214,-0.0004960252286500953,0.79284478895455,0.8528181844668837,0.8396810930695413,1.1042278802629968,-0.1810670070671679,0.17240633548140866
4,1,none,0.8243371351622089,0.8425199405150744,0.1550010058626957,0.7927239040628371,0.853876871326858,0.7342341473165708,0.9667970800176581,-0.014727841131260544,0.30900079997415064
4,2,none,0.8299662220127105,1.0352066896590737,0.026041388512218582,0.7999873658805025,0.8591492217820091,0.912573078830697,1.1864065691948769,-0.13090801102760555,0.16279021479131486
4,3,none,0.823318076335825,1.0474695295010794,0.1759216971405842,0.7917166292669408,0.8538856003914398,0.911571153440089,1.2070518294445176,0.016686888820964425,0.3106420058651503
4,5,none,0.8304480219340281,1.0326070498704734,0.09494294810412299,0.7983833523083166,0.8597773976792327,0.9001584121191307,1.1837087777428044,-0.06322991730310192,0.23362018976455476
4,6,none,0.8188258986521734,1.1824012363809704,-0.04585058296287458,0.787125316056815,0.8489380354174664,1.037487327403172,1.3448952985145775,-0.19566220273905874,0.08906929228108858
4,7,none,0.8256473536532739,1.0528295968849382,0.10388316317451513,0.7953810241961341,0.8541180150924522,0.9280041904879538,1.1998831151823042,-0.052516018332859196,0.23960515269299376
4,8,none,0.8265918894702454,1.0227283587179048,0.45736964354409376,0.7964377844107743,0.8554168330221156,0.8972406631950391,1.1767404689532563,0.29536231323023215,0.5955073042089113
4,9,none,0.8265468290459494,0.9249386517169315,0.25367666940406863,0.7962667530873678,0.8551199192007174,0.8127171638449815,1.0510462789627806,0.08140214439479224,0.4018117652054988
4,10,none,0.8204948674443634,1.006198172210408,0.397073462390492,0.7926514593087615,0.8517513221969903,0.8740294635698561,1.157768170975087,0.24250935613095162,0.5386998062809664
4,11,none,0.8273804468954234,0.9877686027996068,0.1421363188770795,0.7960754483411185,0.8568951469196106,0.857510636373369,1.1375858016205775,-0.012952144592637096,0.2824675699937702
4,12,none,0.8381828170737414,1.100866081812012,0.2769406865023017,0.8093055909114066,0.8661609650022231,0.9645414927834213,1.2621294832859518,0.12380299424681794,0.4083944576172334
4,13,none,0.8129489794680443,0.8778272369625713,0.2870144403754894,0.780689577960837,0.8443233364170245,0.7658526573505393,1.0013903760831573,0.1231517941576739,0.4340452609846875
4,14,none,0.8330909891283061,1.1233927146157692,-0.0015405650431651607,0.8038898340068662,0.8616804135072146,0.9864768754115232,1.2774912294746685,-0.1554284796652714,0.13262368576705663
4,15,none,0.8299436918005626,1.0506625124912041,0.18375738079395443,0.8003107032052289,0.859485266086095,0.9240426983077462,1.1941207355894878,0.021397034701622693,0.3212845815160446
4,16,none,0.8265035017148957,1.223498058429835,-0.026597451119208755,0.7953580219469314,0.8552424591152553,1.0673107248375964,1.3943759190078662,-0.17905417259547907,0.10353884585488637
4,Centralized,none,0.8368015417597482,1.1243579804645258,0.1468550252731422,0.8077790117841893,0.8646037195836743,0.9886857811481652,1.286492074928852,-0.007334387602653018,0.28218025775261607
4,FL,none,0.8365173144680357,1.123330489965154,0.15196828437254103,0.8074410302277123,0.8645256354773847,0.9880111510067382,1.2846039198758274,-0.002145638789493594,0.2866433426453672
4,FL_recal,none,0.8365173144680357,1.1233304899651535,0.1447684683807487,0.8074410302277123,0.8645256354773847,0.9880111510067385,1.2846039198758246,-0.009345454781285886,0.27944352665357475
5,1,none,0.8129529905845695,0.7473726273217529,0.22712500724763704,0.7747168727556645,0.8485596806953822,0.6294183165555892,0.8832802173254574,-0.014391503810787172,0.4211710005646942
5,2,none,0.8109674524148208,0.94414545089927,-0.07540250391906458,0.7693992864655764,0.8489504438127853,0.7874747192811731,1.1127212289644401,-0.28338152196342925,0.10147765427000588
5,3,none,0.8107346067872384,0.9175000844493824,0.1117416276874508,0.7707861180743848,0.8480794323415588,0.7744550008855332,1.0792529826142014,-0.10484704401547894,0.29240983987830627
5,4,none,0.8219027297974666,0.8702241634702809,-0.13211329812442782,0.7808911928964546,0.8597249817425526,0.7232944470592245,1.0290643045537489,-0.34817930931384067,0.05414376391138192
5,6,none,0.8053664566822462,1.028581985273005,-0.17247625631402594,0.7613303041268782,0.8446028606561196,0.8474511716201993,1.22881288894868,-0.3838132695584291,1.8138913142549623e-05
5,7,none,0.8210687190950349,0.9510612793215426,0.14023180236251678,0.7787486211604769,0.8582275207577438,0.784897208281497,1.11891016440012,-0.07371190043557624,0.31705258249107193
5,8,none,0.8162636320531057,0.8548876814314659,0.37892357414530226,0.7785121106288139,0.8518081226020149,0.7169146260078174,1.0043275512922147,0.15546987389663539,0.5588425408175688
5,9,none,0.814900426742532,0.8197393423842061,0.2679983587878285,0.7752690911259454,0.8519481766867083,0.684606265491495,0.9664695357487684,0.03490980174722564,0.4579012289334949
5,10,none,0.7860233353654407,0.8828898381130141,0.2248789346147756,0.7431589231305613,0.8268747617581516,0.7260760615709632,1.0549759662898255,0.02042862276089692,0.4069500778349887
5,11,none,0.8171272776535935,0.9210496223741752,0.02924105157179714,0.7742056965211619,0.8549479246306461,0.7616312326354484,1.094540042377573,-0.19138346641957354,0.20201909896263426
5,12,none,0.8227790760685497,0.982626327262741,0.23285850673511058,0.7795722504219145,0.8600546683328761,0.811742379810766,1.1569776390660211,0.02226660877563286,0.41174288084314936
